年,月,日,日期,分局,所,經度,緯度,種類
106,1,25,20170125,中壢分局,仁愛所,121.2582,24.93726,汽車竊盜
106,1,24,20170124,中壢分局,龍興所,121.2293,24.94398,汽車竊盜
106,1,21,20170121,中壢分局,文化所,121.2463,24.97522,汽車竊盜
106,1,20,20170120,中壢分局,內壢所,121.2601,24.97543,汽車竊盜
106,1,15,20170115,中壢分局,大崙所,121.1727,24.95977,汽車竊盜
106,1,14,20170114,中壢分局,龍興所,121.2453,24.92942,汽車竊盜
106,1,12,20170112,中壢分局,龍興所,121.2371,24.933,汽車竊盜
106,1,6,20170106,中壢分局,龍興所,121.2224,24.94488,汽車竊盜
106,1,5,20170105,中壢分局,大崙所,121.1648,24.96177,汽車竊盜
106,1,1,20170101,中壢分局,興國所,121.2115,24.96453,汽車竊盜
106,1,1,20170101,中壢分局,龍興所,121.2415,24.9286,汽車竊盜
105,12,31,20161231,中壢分局,普仁所,121.2388,24.95332,汽車竊盜
105,12,30,20161230,中壢分局,自強所,121.2591,24.96186,汽車竊盜
105,12,27,20161227,中壢分局,大崙所,121.1539,24.9635,汽車竊盜
105,12,27,20161227,中壢分局,普仁所,121.2433,24.95517,汽車竊盜
105,12,27,20161227,中壢分局,普仁所,121.2289,24.95299,汽車竊盜
105,12,27,20161227,中壢分局,龍興所,121.2296,24.9445,汽車竊盜
105,12,24,20161224,中壢分局,普仁所,121.23,24.95469,汽車竊盜
105,12,22,20161222,中壢分局,文化所,121.2514,24.97461,汽車竊盜
105,12,12,20161212,中壢分局,龍興所,121.2464,24.93663,汽車竊盜
105,12,11,20161211,中壢分局,文化所,121.2298,25.00113,汽車竊盜
105,12,7,20161207,中壢分局,中福所,121.2356,24.97071,汽車竊盜
105,12,1,20161201,中壢分局,龍興所,121.2504,24.93877,汽車竊盜
105,11,27,20161127,中壢分局,興國所,121.2104,24.96072,汽車竊盜
105,11,27,20161127,中壢分局,仁愛所,121.2568,24.94683,汽車竊盜
105,11,26,20161126,中壢分局,中福所,121.231,24.96421,汽車竊盜
105,11,25,20161125,中壢分局,仁愛所,121.2616,24.93838,汽車竊盜
105,11,24,20161124,中壢分局,普仁所,121.1957,25.00651,汽車竊盜
105,11,23,20161123,中壢分局,文化所,121.2444,24.97257,汽車竊盜
105,11,23,20161123,中壢分局,中福所,121.2345,24.97129,汽車竊盜
105,11,23,20161123,中壢分局,中壢所,121.2244,24.95187,汽車竊盜
105,11,23,20161123,中壢分局,龍興所,121.2376,24.93241,汽車竊盜
105,11,21,20161121,中壢分局,普仁所,121.2383,24.94975,汽車竊盜
105,11,16,20161116,中壢分局,仁愛所,121.2623,24.95761,汽車竊盜
105,11,16,20161116,中壢分局,普仁所,121.2353,24.94634,汽車竊盜
105,11,15,20161115,中壢分局,文化所,121.243,24.98806,汽車竊盜
105,11,14,20161114,中壢分局,自強所,121.2574,24.96791,汽車竊盜
105,11,14,20161114,中壢分局,中壢所,121.2248,24.95382,汽車竊盜
105,11,12,20161112,中壢分局,中壢所,121.2258,24.95765,汽車竊盜
105,11,3,20161103,中壢分局,興國所,121.2115,24.96453,汽車竊盜
105,11,2,20161102,中壢分局,中福所,121.2314,24.96371,汽車竊盜
105,11,1,20161101,中壢分局,仁愛所,121.2511,24.94489,汽車竊盜
105,10,31,20161031,中壢分局,青埔所,121.2039,25.01023,汽車竊盜
105,10,28,20161028,中壢分局,內壢所,121.2544,24.97833,汽車竊盜
105,10,26,20161026,中壢分局,興國所,121.2104,24.959,汽車竊盜
105,10,23,20161023,中壢分局,興國所,121.214,24.95472,汽車竊盜
