date,breau,month,year,station,lon,_id,time,type,lat
12,蘆竹分局,5,109,南崁所,121.299398,179,1090512,汽車竊盜,25.051951
8,大園分局,5,109,草漯所,121.138208,180,1090508,汽車竊盜,25.0430241
8,蘆竹分局,5,109,外社所,121.2598209,181,1090508,汽車竊盜,25.1167667
7,大園分局,5,109,三?所,121.2633059,182,1090507,汽車竊盜,25.0739509
4,中壢分局,5,109,興國所,121.2138663,183,1090504,汽車竊盜,24.9769122
3,蘆竹分局,5,109,大竹所,121.2561876,184,1090503,汽車竊盜,25.018394
3,蘆竹分局,5,109,南崁所,121.2866976,185,1090503,汽車竊盜,25.0482598
1,大園分局,5,109,新坡所,121.1322199,186,1090501,汽車竊盜,25.0150794
28,蘆竹分局,4,109,南崁所,121.2853464,187,1090428,汽車竊盜,25.0808556
27,龜山分局,4,109,大華所,121.3687188,188,1090427,汽車竊盜,25.0566846
23,八德分局,4,109,八德所,121.295911,189,1090423,汽車竊盜,24.923616
20,龜山分局,4,109,大華所,121.3700897,190,1090420,汽車竊盜,25.0505403
18,中壢分局,4,109,青埔所,121.2035434,191,1090418,汽車竊盜,24.995757
18,楊梅分局,4,109,幼獅所,121.1668002,192,1090418,汽車竊盜,24.9576411
14,中壢分局,4,109,仁愛所,121.2640873,193,1090414,汽車竊盜,24.9485909
12,桃園分局,4,109,同安所,121.262629,194,1090412,汽車竊盜,24.9716626
11,大園分局,4,109,新坡所,121.1367027,195,1090411,汽車竊盜,24.9771432
10,龜山分局,4,109,大華所,121.3691333,196,1090410,汽車竊盜,25.0543963
9,平鎮分局,4,109,建安所,121.2551367,197,1090409,汽車竊盜,24.9151422
9,蘆竹分局,4,109,南崁所,121.2828987,198,1090409,汽車竊盜,25.0704696
9,蘆竹分局,4,109,南崁所,121.2915247,199,1090409,汽車竊盜,25.0610665
8,蘆竹分局,4,109,外社所,121.2711169,200,1090408,汽車竊盜,25.1048249
7,楊梅分局,4,109,埔頂所,121.1745137,201,1090407,汽車竊盜,24.9261711
6,大園分局,4,109,埔心所,121.2246891,202,1090406,汽車竊盜,25.0142545
5,龜山分局,4,109,坪頂所,121.36042,203,1090405,汽車竊盜,25.0548859
3,中壢分局,4,109,普仁所,121.2329559,204,1090403,汽車竊盜,24.9513328
31,楊梅分局,3,109,富岡所,121.0759314,205,1090331,汽車竊盜,24.9320256
30,楊梅分局,3,109,草湳所,121.1753205,206,1090330,汽車竊盜,24.912353
28,龜山分局,3,109,大華所,121.3702261,207,1090328,汽車竊盜,25.0591387
26,八德分局,3,109,廣興所,121.2899586,208,1090326,汽車竊盜,24.9502981
26,大園分局,3,109,新坡所,121.1145849,209,1090326,汽車竊盜,25.0266034
26,蘆竹分局,3,109,外社所,121.2623877,210,1090326,汽車竊盜,25.1009052
25,八德分局,3,109,廣興所,121.2899586,211,1090325,汽車竊盜,24.9502981
25,蘆竹分局,3,109,大竹所,121.2672699,212,1090325,汽車竊盜,25.019525
23,桃園分局,3,109,同安所,121.310462,213,1090323,汽車竊盜,25.018806
23,八德分局,3,109,廣興所,121.2635693,214,1090323,汽車竊盜,24.933811
22,龜山分局,3,109,大林所,121.3349768,215,1090322,汽車竊盜,24.9902773
22,桃園分局,3,109,埔子所,121.2999919,216,1090322,汽車竊盜,24.9982594
21,蘆竹分局,3,109,南崁所,121.2859387,217,1090321,汽車竊盜,25.0731059
19,八德分局,3,109,四維所,121.298562,218,1090319,汽車竊盜,24.947518
19,大園分局,3,109,潮音所,121.1756622,219,1090319,汽車竊盜,25.0754173
19,大園分局,3,109,新坡所,121.132218,220,1090319,汽車竊盜,25.0136929
17,平鎮分局,3,109,平鎮所,121.2118679,221,1090317,汽車竊盜,24.8820571
16,蘆竹分局,3,109,外社所,121.354405,222,1090316,汽車竊盜,25.066231
13,大溪分局,3,109,三元所,121.2721237,223,1090313,汽車竊盜,24.8836436
11,八德分局,3,109,大安所,121.3184482,224,1090311,汽車竊盜,24.972154
11,龜山分局,3,109,龜山所,121.3499116,225,1090311,汽車竊盜,24.9878931
11,龜山分局,3,109,龜山所,121.3334545,226,1090311,汽車竊盜,24.9939599
8,大園分局,3,109,新坡所,121.140314,227,1090308,汽車竊盜,24.967017
7,平鎮分局,3,109,龍岡所,121.2448242,228,1090307,汽車竊盜,24.9223141
7,龜山分局,3,109,龜山所,121.3468554,229,1090307,汽車竊盜,24.9990857
29,中壢分局,2,109,文化所,121.2504887,230,1090229,汽車竊盜,24.9846377
29,龜山分局,2,109,大埔所,121.3615502,231,1090229,汽車竊盜,25.0159015
28,龜山分局,2,109,龜山所,121.348101,232,1090228,汽車竊盜,24.986082
24,大溪分局,2,109,三元所,121.2672688,233,1090224,汽車竊盜,24.8847598
24,龜山分局,2,109,大埔所,121.3793419,234,1090224,汽車竊盜,25.051825
21,平鎮分局,2,109,建安所,121.2275236,235,1090221,汽車竊盜,24.927064
21,龜山分局,2,109,坪頂所,121.3535493,236,1090221,汽車竊盜,25.0580649
21,蘆竹分局,2,109,南崁所,121.2877377,237,1090221,汽車竊盜,25.077015
